Country,ISO3,Population,ForeignBornPop,ForeignBornPercent,UrbanPercent,Urbanization,Mliteracy,Fliteracy,LiteracyDif,GDP,MedianAge,YUnemployment,PopGrowth
Seychelles,SYC,92900,7908,8.51,53.9,1.14,91.4,92.3,0.9,14133.15992,34.9,,0.8
Antigua and Barbuda,ATG,91818,23471,25.56,23.8,-0.95,98.4,99.4,1,14764.48951,31.6,,1.23
Maldives,MDV,409163,63637,15.55,45.5,4.49,99.8,98.8,1,9446.452453,27.8,22.2,-0.07
Philippines,PHL,100699395,3912119,3.88,44.4,1.32,95.8,96.8,1,2904.179453,23.4,16.3,1.59
Puerto Rico,PRI,3474182,105593,3.04,93.6,-0.21,92.8,93.8,1,27939.00367,39.5,26.6,-0.54
Dominican Republic,DOM,10528391,395791,3.76,79,2.6,91.2,92.3,1.1,6373.55388,27.8,29.4,1.21
Suriname,SUR,542975,32569,6,66,0.78,96.1,95,1.1,8985.338093,29.5,21.5,1.05
Spain,ESP,46418269,5662365,12.2,79.6,0.52,98.7,97.5,1.2,25865.38455,42.3,53.2,0.84
Panama,PAN,3929141,,0,66.6,2.07,95.7,94.4,1.3,13268.11375,28.9,10.3,1.3
Albania,ALB,2889167,51345,1.78,57.4,2.21,98.4,96.9,1.5,3984.234302,32.5,22.5,0.31
Montenegro,MNE,622388,79830,12.83,64,0.34,99.5,98,1.5,6424.087757,40.2,41.1,-0.35
Greece,GRC,10823732,1286067,11.88,78,0.47,98.5,96.9,1.6,17787.95075,44.2,55.3,-0.03
Ecuador,ECU,16144363,194398,1.2,63.7,1.9,95.4,93.5,1.9,6205.064145,27.4,11.1,1.31
Israel,ISR,8380400,1912420,22.82,92.1,1.37,98.7,96.8,1.9,37129.43891,29.7,12.1,1.53
Paraguay,PRY,6639123,173176,2.61,59.7,2.1,94.8,92.9,1.9,4174.364034,27.8,11.2,1.17
Serbia,SRB,7098247,822308,11.58,55.6,-0.34,99.1,97.2,1.9,5238.568317,42.3,51.5,-0.46
Sri Lanka,LKA,20966000,,0,18.4,0.72,93.6,91.7,1.9,3973.744866,32.5,17.3,0.8
Bosnia and Herzegovina,BIH,3810416,,0,39.8,0.14,99.5,97.5,2,4264.953733,41.7,62.8,-0.14
"Macedonia, FYR",MKD,2078453,,0,57.1,0.11,98.8,96.8,2,4836.127488,37.5,53.9,0.18
Mexico,MEX,127017224,961121,0.76,79.2,1.57,96.2,94.2,2,8980.862156,28,9.4,1.15
South Africa,ZAF,54956920,,0,64.8,1.59,95.5,93.1,2.4,5772.964537,26.8,51.5,0.99
Guyana,GUY,767085,,0,28.6,0.76,87.2,89.8,2.6,4278.806433,25.8,46.1,0.17
Malta,MLT,431333,35116,8.14,95.4,0.46,93.1,95.8,2.7,23280.68043,41.5,14.2,0.29
Portugal,PRT,10348648,871813,8.42,63.5,0.97,97.1,94.4,2.7,19239.17648,41.8,37.6,0.07
United Arab Emirates,ARE,9156963,,0,85.5,2.87,93.1,95.8,2.7,40438.7715,30.3,12.1,2.47
Papua New Guinea,PNG,7619321,,0,13,2.12,65.6,62.8,2.8,2797.553334,22.9,,1.75
Vanuatu,VUT,264652,,0,26.1,3.42,86.6,83.8,2.8,2783.014458,21.7,,1.9
Brunei Darussalam,BRN,423188,,0,77.2,-1.79,97.5,94.5,3,30552.65947,29.9,,1.6
Malaysia,MYS,30331007,1563310,5.15,74.7,2.66,96.2,93.2,3,9768.368411,28.2,10.3,1.4
Bahrain,BHR,1377237,,0,88.8,1.71,96.9,93.5,3.4,22600.2141,32.1,5,2.33
Chad,TCD,14037472,,0,22.5,3.42,28.5,31.9,3.4,713.0492508,17.6,,1.88
Vietnam,VNM,91703800,,0,33.6,2.95,96.3,92.8,3.5,2067.90887,30.1,5.5,0.95
Singapore,SGP,5535002,859787,15.53,100,2.02,98.6,95,3.6,52239.02458,34.3,6.7,1.86
China,CHN,1371220000,3119826,0.23,55.6,3.05,98.2,94.5,3.7,8109.055067,37.1,,0.43
Zimbabwe,ZWE,15602751,,0,32.4,2.3,88.5,84.6,3.9,890.4215757,20.6,7.6,2.2
Myanmar,MMR,53897154,,0,34.1,2.49,95.2,91.2,4,1161.483234,28.6,,1
Madagascar,MDG,24235390,,0,35.1,4.69,66.7,62.6,4.1,401.8360015,19.5,2.3,2.54
Bolivia,BOL,10724705,128072,1.19,68.5,2.26,97.8,93.6,4.2,3076.793416,24,6.2,1.54
Lebanon,LBN,5850743,,0,87.8,3.18,96,91.8,4.2,8571.37009,29.9,16.8,0.85
Gabon,GAB,1725292,,0,87.2,2.7,85.3,81,4.3,7960.715604,18.6,,1.92
El Salvador,SLV,6126583,,0,66.7,1.4,90.4,86,4.4,4219.352261,26.6,12.4,0.25
Equatorial Guinea,GNQ,845060,,0,39.9,3.12,97.4,93,4.4,16344.0819,19.6,,2.48
Mauritius,MUS,1262605,,0,39.7,-0.08,92.9,88.5,4.4,9040.876348,34.8,23.7,0.61
Indonesia,IDN,257563815,,0,53.7,2.69,96.3,91.5,4.8,3346.48703,29.9,22.2,0.89
Jordan,JOR,7594547,596552,7.86,83.7,3.79,97.7,92.9,4.8,4940.053013,22.3,29.3,0.83
Burundi,BDI,11178921,172114,1.54,12.1,5.66,88.2,83.1,5.1,244.6152161,17,,3.26
Rwanda,RWA,11609666,370231,3.19,28.8,6.43,73.2,68,5.2,697.3482195,19,,2.53
Namibia,NAM,2458830,94029,3.82,46.7,4.16,79.2,84.5,5.3,4673.555935,21,34.3,1.98
Peru,PER,31376670,81636,0.26,78.6,1.69,97.3,91.7,5.6,6069.091324,27.7,9.5,0.96
Saudi Arabia,SAU,31540372,,0,83.1,2.1,97,91.1,5.9,20710.57649,27.2,28.3,1.46
Bangladesh,BGD,160995642,,0,34.3,3.55,64.6,58.5,6.1,1207.895932,26.3,9.3,1.05
Kenya,KEN,46050302,,0,25.6,4.34,81.1,74.9,6.2,1376.723268,19.5,,1.81
Turkey,TUR,78665830,957000,1.22,73.4,1.97,98.4,91.8,6.6,9125.790936,30.9,17.5,0.9
Haiti,HTI,10711067,,0,58.6,3.78,64.3,57.3,7,793.6810518,22.6,,1.71
Oman,OMN,4490541,,0,77.6,8.54,93.6,85.6,8,15550.85,25.4,,2.05
Timor-Leste,TLS,1245015,11345,0.91,32.8,3.75,71.5,63.4,8.1,2425.365707,18.8,14.8,2.39
"Iran, Islamic Rep.",IRN,79109272,837189,1.06,73.4,2.07,91.2,82.5,8.7,5038.127357,29.4,23,1.18
State of Palestine,PSE,4422143,233401,5.28,#REF!,,96.7,88,8.7,2715.53868,20.8,38.8,2.13
Cape Verde,CPV,520502,,0,65.5,1.99,92.1,83.1,9,3080.184746,24.9,,1.35
Jamaica,JAM,2725941,23477,0.86,54.8,0.9,84,93.1,9.1,5105.793765,25.6,34,0.68
Solomon Islands,SLB,583591,,0,22.3,4.25,88.9,79.2,9.7,1841.637368,22.2,,1.98
Tanzania,TZA,53470420,,0,31.6,5.36,75.9,65.4,10.5,1670.821255,17.6,7.1,2.77
Ghana,GHA,27409893,323189,1.18,54,3.4,82,71.4,10.6,1355.571971,21,,2.18
Syrian Arab Republic,SYR,18502413,,0,57.7,1.7,91.7,81,10.7,1534.543991,24.1,19.2,1.56
